DRUG_NAME,accuracy,precision,recall,f1,roc_auc
THR-103,0.7079207920792079,0.7752808988764045,0.6388888888888888,0.700507614213198,0.7878250591016548
GW441756,0.7535714285714286,0.7165354330708661,0.7338709677419355,0.7250996015936255,0.7868848221670802
SN-38,0.7551724137931034,0.8110236220472441,0.6866666666666666,0.7436823104693141,0.7867619047619048
AZD5582,0.7404580152671756,0.7090909090909091,0.6842105263157895,0.6964285714285714,0.7864509246088194
N25720-51-A1,0.7142857142857143,0.8163265306122449,0.6557377049180327,0.7272727272727273,0.7850223546944857
GSK-LSD1-2HCl,0.7598039215686274,0.7473684210526316,0.7395833333333334,0.743455497382199,0.7825038580246912
GSK2801,0.7373737373737373,0.7209302325581395,0.6888888888888889,0.7045454545454546,0.7818930041152262
Teniposide,0.7575757575757576,0.8095238095238095,0.68,0.7391304347826086,0.7809183673469388
SGC-CBP30,0.7272727272727273,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.7806584362139919
SGC0946,0.7359154929577465,0.728,0.6893939393939394,0.708171206225681,0.7804027113237639
THR-101,0.7178217821782178,0.797752808988764,0.6454545454545455,0.7135678391959799,0.7794466403162056
Fulvestrant,0.7363013698630136,0.7404580152671756,0.6928571428571428,0.7158671586715867,0.7768562030075188
Vinorelbine,0.7167832167832168,0.7165354330708661,0.6691176470588235,0.6920152091254753,0.7757843137254902
Cytarabine,0.719047619047619,0.7362637362637363,0.6568627450980392,0.694300518134715,0.7751452432824982
JAK1_8709,0.7029702970297029,0.7045454545454546,0.6458333333333334,0.6739130434782609,0.7735849056603774
UNC0379,0.7135922330097088,0.7938144329896907,0.6637931034482759,0.7230046948356808,0.7735632183908046
GSK2276186C,0.7070707070707071,0.7209302325581395,0.6458333333333334,0.6813186813186813,0.7725694444444444
Irinotecan,0.7363013698630136,0.7829457364341085,0.6733333333333333,0.7240143369175627,0.7723708920187793
Entinostat,0.6992481203007519,0.7962962962962963,0.5972222222222222,0.6825396825396826,0.7721425318761383
630600,0.702020202020202,0.7411764705882353,0.63,0.6810810810810811,0.7694897959183673
Mycophenolic acid,0.7029702970297029,0.7659574468085106,0.6545454545454545,0.7058823529411765,0.7673913043478261
PFI3,0.7404580152671756,0.8035714285714286,0.6617647058823529,0.7258064516129032,0.7664565826330532
CDK9_5576,0.693069306930693,0.6363636363636364,0.6511627906976745,0.6436781609195402,0.7650360866078588
776928,0.6818181818181818,0.6823529411764706,0.6170212765957447,0.6480446927374302,0.764423076923077
GSK2830371A,0.7070707070707071,0.7857142857142857,0.6226415094339622,0.6947368421052632,0.764253486464315
BEN,0.7222222222222222,0.7058823529411765,0.6666666666666666,0.6857142857142857,0.7632716049382716
LMB_AB3,0.7070707070707071,0.7209302325581395,0.6458333333333334,0.6813186813186813,0.763174019607843
Topotecan,0.7171717171717171,0.7209302325581395,0.6595744680851063,0.6888888888888889,0.7601268412438625
Docetaxel,0.7157534246575342,0.7099236641221374,0.6739130434782609,0.6914498141263941,0.7585168454733673
Rucaparib,0.7447552447552448,0.7795275590551181,0.6875,0.7306273062730627,0.7575312989045383
THR-102,0.6881188118811881,0.7415730337078652,0.6226415094339622,0.676923076923077,0.7566332547169812
Mitoxantrone,0.7171717171717171,0.7142857142857143,0.6521739130434783,0.6818181818181818,0.7560500410172273
Axitinib,0.7482758620689656,0.7786259541984732,0.6986301369863014,0.7364620938628159,0.7554461567732116
Cediranib,0.6883561643835616,0.7593984962406015,0.63125,0.689419795221843,0.7536931818181817
BDP-00009066,0.7,0.7171717171717171,0.6698113207547169,0.6926829268292682,0.7529481132075473
Buparlisib,0.6952054794520548,0.7054263565891473,0.6408450704225352,0.6715867158671587,0.751830985915493
AZD4547,0.7,0.6641221374045801,0.6692307692307692,0.6666666666666666,0.7507451923076922
Crizotinib,0.7226027397260274,0.7593984962406015,0.6733333333333333,0.7137809187279152,0.750586854460094
Niraparib,0.7045454545454546,0.75,0.6268656716417911,0.6829268292682927,0.750459242250287
Trametinib,0.6541095890410958,0.7054263565891473,0.5909090909090909,0.6431095406360424,0.7492000752870319
MIM1,0.6714285714285714,0.6494845360824743,0.6428571428571429,0.6461538461538462,0.7487700437317785
UMI-77,0.680952380952381,0.7525773195876289,0.6293103448275862,0.6854460093896714,0.7487619222303742
Olaparib,0.7226027397260274,0.7709923664122137,0.6644736842105263,0.7137809187279152,0.7482847744360901
BI-2536,0.6914893617021277,0.728,0.6319444444444444,0.6765799256505576,0.7470561594202898
Vismodegib,0.7447552447552448,0.8110236220472441,0.6776315789473685,0.7383512544802867,0.7468578161822468
SB590885,0.7359154929577465,0.7441860465116279,0.6956521739130435,0.7191011235955056,0.7468483224141353
Savolitinib,0.6931034482758621,0.7175572519083969,0.6438356164383562,0.6787003610108303,0.74650399543379
PAK_5339,0.6732673267326733,0.6818181818181818,0.6122448979591837,0.6451612903225806,0.7463697017268446
EPZ004777,0.7157534246575342,0.751937984496124,0.6554054054054054,0.7003610108303249,0.7462227852852853
Palbociclib,0.6472602739726028,0.7251908396946565,0.5864197530864198,0.6484641638225256,0.7461538461538462
LJI308,0.7097902097902098,0.792,0.6346153846153846,0.7046263345195729,0.7447978303747536
VTP-B,0.693069306930693,0.7340425531914894,0.6509433962264151,0.69,0.7439563679245284
IRAK4_4710,0.693069306930693,0.7045454545454546,0.6326530612244898,0.6666666666666666,0.7437205651491364
NVP-ADW742,0.6952054794520548,0.7099236641221374,0.6458333333333334,0.6763636363636364,0.7430555555555557
ULK1_4989,0.693069306930693,0.6590909090909091,0.6444444444444445,0.651685393258427,0.7424603174603175
Pevonedistat,0.702054794520548,0.7480916030534351,0.6447368421052632,0.6925795053003534,0.7422227443609022
CZC24832,0.7022900763358778,0.7321428571428571,0.6307692307692307,0.6776859504132231,0.741958041958042
YK-4-279,0.6815068493150684,0.7099236641221374,0.6283783783783784,0.6666666666666666,0.7419294294294294
Leflunomide,0.7121212121212122,0.7407407407407407,0.625,0.6779661016949152,0.7405215992647058
I-BRD9,0.6952054794520548,0.7709923664122137,0.63125,0.6941580756013745,0.7401278409090909
Sinularin,0.6313131313131313,0.6470588235294118,0.5612244897959183,0.6010928961748634,0.7401020408163266
MK-8776,0.6821428571428572,0.776,0.6139240506329114,0.6855123674911661,0.7394428304627516
JQ1,0.6888111888111889,0.6771653543307087,0.6417910447761194,0.6590038314176245,0.7392969363707778
VTP-A,0.6732673267326733,0.6595744680851063,0.6458333333333334,0.6526315789473685,0.7386988993710693
IWP-2,0.6870229007633588,0.7272727272727273,0.6060606060606061,0.6611570247933884,0.7386363636363635
GDC0810,0.702054794520548,0.7251908396946565,0.6506849315068494,0.6859205776173285,0.7385766560330269
Nilotinib,0.6931034482758621,0.6976744186046512,0.6428571428571429,0.6691449814126395,0.7381904761904762
Afatinib,0.6931034482758621,0.7480314960629921,0.625,0.6810035842293907,0.7369374523264685
